observation_date,MEXCPIALLMINMEI
01-01-00,51.258969999999997924
02-01-00,51.713650000000001228
03-01-00,52.000349999999997408
04-01-00,52.296210000000002083
05-01-00,52.491709999999997649
06-01-00,52.802630000000000621
07-01-00,53.008609999999997342
08-01-00,53.299880000000001701
09-01-00,53.689239999999998076
10-01-00,54.058939999999999770
11-01-00,54.521160000000001844
12-01-00,55.111409999999999343
01-01-01,55.416930000000000689
02-01-01,55.380259999999999820
03-01-01,55.731140000000003454
04-01-01,56.012259999999997717
05-01-01,56.140790000000002635
06-01-01,56.273580000000002599
07-01-01,56.127369999999999095
08-01-01,56.459910000000000707
09-01-01,56.985489999999998645
10-01-01,57.243029999999997415
11-01-01,57.458669999999997913
12-01-01,57.538240000000001828
01-01-02,58.069389999999998508
02-01-02,58.032060000000001310
03-01-02,58.328899999999997306
04-01-02,58.647530000000003270
05-01-02,58.766399999999997306
06-01-02,59.052930000000003474
07-01-02,59.222450000000002035
08-01-02,59.447620000000000573
09-01-02,59.805190000000003181
10-01-02,60.068789999999999907
11-01-02,60.554600000000000648
12-01-02,60.818199999999997374
01-01-03,61.064059999999997785
02-01-03,61.233679999999999666
03-01-03,61.620210000000000150
04-01-03,61.725409999999996558
05-01-03,61.526240000000001373
06-01-03,61.577069999999999084
07-01-03,61.666310000000002844
08-01-03,61.851300000000001944
09-01-03,62.219509999999999650
10-01-03,62.447639999999999816
11-01-03,62.965960000000002594
12-01-03,63.236649999999997362
01-01-04,63.629669999999997287
02-01-04,64.010289999999997690
03-01-04,64.227199999999996294
04-01-04,64.324119999999993524
05-01-04,64.162769999999994752
06-01-04,64.265609999999995239
07-01-04,64.434049999999999159
08-01-04,64.831810000000004379
09-01-04,65.367859999999993192
10-01-04,65.820580000000006748
11-01-04,66.382050000000006662
12-01-04,66.519170000000002574
01-01-05,66.521529999999998495
02-01-05,66.743160000000003151
03-01-05,67.043989999999993756
04-01-05,67.282759999999996126
05-01-05,67.113730000000003884
06-01-05,67.049310000000005516
07-01-05,67.311719999999994002
08-01-05,67.392099999999999227
09-01-05,67.662189999999995393
10-01-05,67.828270000000003392
11-01-05,68.316450000000003229
12-01-05,68.736080000000001178
01-01-06,69.139150000000000773
02-01-06,69.244939999999999714
03-01-06,69.331829999999996517
04-01-06,69.433480000000002974
05-01-06,69.124369999999998981
06-01-06,69.184070000000005507
07-01-06,69.373789999999999623
08-01-06,69.727810000000005175
09-01-06,70.431709999999995375
10-01-06,70.739630000000005339
11-01-06,71.110789999999994393
12-01-06,71.522139999999993165
01-01-07,71.891530000000003042
02-01-07,72.092479999999994789
03-01-07,72.248500000000007049
04-01-07,72.205359999999998877
05-01-07,71.853110000000000923
06-01-07,71.939400000000006230
07-01-07,72.244960000000006062
08-01-07,72.539280000000005089
09-01-07,73.102519999999998390
