observation_date,GüneyKore_TUFE
01-01-00,62.45600000000000
02-01-00,62.64700000000000
03-01-00,62.96200000000000
04-01-00,62.70900000000000
05-01-00,62.39300000000000
06-01-00,62.70900000000000
07-01-00,62.96200000000000
08-01-00,63.27700000000000
09-01-00,64.09800000000000
10-01-00,64.03500000000000
11-01-00,63.65600000000000
12-01-00,63.90800000000000
01-01-01,64.60400000000000
02-01-01,64.91900000000000
03-01-01,65.48800000000000
04-01-01,65.73999999999999
05-01-01,65.67700000000001
06-01-01,65.86600000000000
07-01-01,65.99200000000000
08-01-01,66.24500000000000
09-01-01,66.18200000000000
10-01-01,66.18200000000000
11-01-01,65.80400000000000
12-01-01,65.93000000000001
01-01-02,66.30800000000001
02-01-02,66.62400000000000
03-01-02,67.00300000000000
04-01-02,67.38200000000001
05-01-02,67.63400000000000
06-01-02,67.57100000000000
07-01-02,67.38200000000001
08-01-02,67.82400000000000
09-01-02,68.20399999999999
10-01-02,68.01300000000001
11-01-02,68.07700000000000
12-01-02,68.39100000000001
01-01-03,68.83499999999999
02-01-03,69.21299999999999
03-01-03,70.03400000000001
04-01-03,69.90800000000000
05-01-03,69.78200000000000
06-01-03,69.59200000000000
07-01-03,69.53000000000000
08-01-03,69.84500000000000
09-01-03,70.47700000000000
10-01-03,70.53900000000000
11-01-03,70.41300000000000
12-01-03,70.73000000000000
01-01-04,71.17200000000000
02-01-04,71.48699999999999
03-01-04,72.18100000000000
04-01-04,72.18100000000000
05-01-04,72.11900000000000
06-01-04,72.11900000000000
07-01-04,72.56100000000001
08-01-04,73.19100000000000
09-01-04,73.19100000000000
10-01-04,73.19100000000000
11-01-04,72.75000000000000
12-01-04,72.87700000000000
01-01-05,73.59399999999999
02-01-05,73.89200000000000
03-01-05,74.33799999999999
04-01-05,74.41300000000000
05-01-05,74.33799999999999
06-01-05,74.11400000000000
07-01-05,74.41300000000000
08-01-05,74.63600000000000
09-01-05,75.00800000000000
10-01-05,74.85899999999999
11-01-05,74.56100000000001
12-01-05,74.78500000000000
01-01-06,75.23099999999999
02-01-06,75.38100000000000
03-01-06,75.82700000000000
